Datetime,PowerOut,ArrayPower,Service,DelvrEff,BatSoc,BatDrain,BatPwr,Warn,Month,DayofMonth,DayofYear,AC_Load,DC_Load,Total_Load
2021-08-11 18:00:00-06:00,3.877551020408163,10.21383903619714,1.0,0.3796369814196592,100.0,4.957110761456801,1320.0,,8,11,223,0.0,3.5,3.5
2021-08-11 19:00:00-06:00,3.877551020408163,0.1047728655024028,1.0,1.0,99.68480808659496,-4.160533256946577,1315.0861423661704,,8,11,223,0.0,3.5,3.5
2021-08-11 20:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.3614937358849,-4.26530612244898,1310.0481343007805,,8,11,223,0.0,3.5,3.5
2021-08-11 21:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.0379886855964,-4.26530612244898,1305.0096753149046,,8,11,223,0.0,3.5,3.5
2021-08-11 22:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.71429197477026,-4.26530612244898,1299.9707631555145,,8,11,223,0.0,3.5,3.5
2021-08-11 23:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.39040263366604,-4.26530612244898,1294.9313955491555,,8,11,223,0.0,3.5,3.5
2021-08-12 00:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.06631968364565,-4.26530612244898,1289.8915702016766,,8,12,224,0.0,3.5,3.5
2021-08-12 01:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.7420421370552,-4.26530612244898,1284.8512847979578,,8,12,224,0.0,3.5,3.5
2021-08-12 02:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.41756899710468,-4.26530612244898,1279.8105370016335,,8,12,224,0.0,3.5,3.5
2021-08-12 03:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.0928992577455,-4.26530612244898,1274.7693244548082,,8,12,224,0.0,3.5,3.5
2021-08-12 04:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.76803190354596,-4.26530612244898,1269.7276447777706,,8,12,224,0.0,3.5,3.5
2021-08-12 05:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.4429659095644,-4.26530612244898,1264.6854955687,,8,12,224,0.0,3.5,3.5
2021-08-12 06:00:00-06:00,3.877551020408163,0.032802588062238534,1.0,1.0,96.1202017160086,-4.232503534386741,1259.6816449359367,,8,12,224,0.0,3.5,3.5
2021-08-12 07:00:00-06:00,3.877551020408163,9.091072520198464,1.0,0.42652294454730777,96.42706075551986,4.021471998124571,1264.4388554829068,,8,12,224,0.0,3.5,3.5
2021-08-12 08:00:00-06:00,3.877551020408163,39.53889550198318,1.0,0.09806928016524069,98.66871952996134,29.394657816278503,1299.261551255836,,8,12,224,0.0,3.5,3.5
2021-08-12 09:00:00-06:00,3.877551020408163,72.88232958527534,1.0,0.05320289626405627,100.0,57.180852885688644,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 10:00:00-06:00,3.877551020408163,100.49433204740569,1.0,0.038584773304220034,100.0,80.19085493746394,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 11:00:00-06:00,3.877551020408163,119.57995896243645,1.0,0.03242642875990796,100.0,96.09554403332291,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 12:00:00-06:00,3.877551020408163,129.31861815518806,1.0,0.029984476139042333,100.0,104.2110933606159,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 13:00:00-06:00,3.877551020408163,129.54552593504903,1.0,0.029931956294285862,100.0,104.40018317716672,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 14:00:00-06:00,3.877551020408163,120.25722861966237,1.0,0.03224380825099252,100.0,96.65993541434449,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 15:00:00-06:00,3.877551020408163,101.6006504183969,1.0,0.03816462792748079,100.0,81.11278691328994,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 16:00:00-06:00,3.877551020408163,74.34089490621847,1.0,0.052159057612902286,100.0,58.39632398647458,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 17:00:00-06:00,3.877551020408163,41.123803316968214,1.0,0.09428969860888901,100.0,30.715414328766027,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 18:00:00-06:00,3.877551020408163,10.150736154140514,1.0,0.3819970257848244,100.0,4.904525026409612,1320.0,,8,12,224,0.0,3.5,3.5
2021-08-12 19:00:00-06:00,3.877551020408163,0.07883095289634401,1.0,1.0,99.6828427901854,-4.186475169552636,1315.0555107734458,,8,12,224,0.0,3.5,3.5
2021-08-12 20:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.35952728283772,-4.26530612244898,1310.01749997306,,8,12,224,0.0,3.5,3.5
2021-08-12 21:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.03602107009488,-4.26530612244898,1304.9790382385502,,8,12,224,0.0,3.5,3.5
2021-08-12 22:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.7123231909447,-4.26530612244898,1299.940123316765,,8,12,224,0.0,3.5,3.5
2021-08-12 23:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.38843267559292,-4.26530612244898,1294.900752934124,,8,12,224,0.0,3.5,3.5
2021-08-13 00:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.06434854534707,-4.26530612244898,1289.86092479635,,8,13,225,0.0,3.5,3.5
2021-08-13 01:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.74006981249804,-4.26530612244898,1284.8206365881947,,8,13,225,0.0,3.5,3.5
2021-08-13 02:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.41559548019988,-4.26530612244898,1279.7798859731624,,8,13,225,0.0,3.5,3.5
2021-08-13 03:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.09092454234734,-4.26530612244898,1274.7386705932256,,8,13,225,0.0,3.5,3.5
2021-08-13 04:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.76605598345127,-4.26530612244898,1269.69698806854,,8,13,225,0.0,3.5,3.5
2021-08-13 05:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.44098877851185,-4.26530612244898,1264.6548359971491,,8,13,225,0.0,3.5,3.5
2021-08-13 06:00:00-06:00,3.877551020408163,0.025652069965837306,1.0,1.0,96.11767808751377,-4.239654052483142,1259.6425310422192,,8,13,225,0.0,3.5,3.5
2021-08-13 07:00:00-06:00,3.877551020408163,9.15955364034811,1.0,0.423334058913901,96.42889317156413,4.078539598249275,1264.467270307334,,8,13,225,0.0,3.5,3.5
2021-08-13 08:00:00-06:00,3.877551020408163,39.772785283753436,1.0,0.09749256917121372,98.68540796059774,29.589565967753718,1299.5212557159255,,8,13,225,0.0,3.5,3.5
2021-08-13 09:00:00-06:00,3.877551020408163,73.21918950602286,1.0,0.052958125411770696,100.0,57.46156948631156,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 10:00:00-06:00,3.877551020408163,100.8766097437509,1.0,0.03843855409354069,100.0,80.50941968441829,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 11:00:00-06:00,3.877551020408163,119.97170821699154,1.0,0.03232054521883508,100.0,96.42200174545215,1320.0,,8,13,225,0.0,3.5,3.5
